These results were downloaded and refreshed on October   22, 2019 at 12:26 p.m. ET. / Ces résultats ont été téléchargés et rafraichis le 22 octobre 2019 à 12h26 HE.													
Electoral district number - Numéro de la circonscription	Electoral district name	Nom de la circonscription	Type of results*	Type de résultats**	Surname - Nom de famille	Middle name(s) - Autre(s) prénom(s)	Given name - Prénom	Political affiliation	Appartenance politique	Votes obtained - Votes obtenus	% Votes obtained - Votes obtenus %	Rejected ballots - Bulletins rejetés***	Total number of ballots cast - Nombre total de votes déposés
13006	Miramichi--Grand Lake	Miramichi--Grand Lake	preliminary	préliminaires	Lawson		Mathew Grant	Independent	Indépendant(e)	396	1.1	0	34597
13006	Miramichi--Grand Lake	Miramichi--Grand Lake	preliminary	préliminaires	MacKenzie		Allison	Independent	Indépendant(e)	1160	3.4	0	34597
13006	Miramichi--Grand Lake	Miramichi--Grand Lake	preliminary	préliminaires	McLean		Peggy	Conservative	Conservateur	12311	35.6	0	34597
13006	Miramichi--Grand Lake	Miramichi--Grand Lake	preliminary	préliminaires	Nowlan		Ron	People's Party	Parti populaire	1216	3.5	0	34597
13007	Moncton--Riverview--Dieppe	Moncton--Riverview--Dieppe	preliminary	préliminaires	Driver		Stephen	People's Party	Parti populaire	1258	2.4	0	51943
13007	Moncton--Riverview--Dieppe	Moncton--Riverview--Dieppe	preliminary	préliminaires	Godin-Charest		Sylvie	Conservative	Conservateur	12190	23.5	0	51943
13007	Moncton--Riverview--Dieppe	Moncton--Riverview--Dieppe	preliminary	préliminaires	Kelly		Claire	Green Party	Parti Vert	9371	18	0	51943
13007	Moncton--Riverview--Dieppe	Moncton--Riverview--Dieppe	preliminary	préliminaires	MacDonald		Brad	Animal Protection Party	Parti Protection Animaux	414	.8	0	51943
13007	Moncton--Riverview--Dieppe	Moncton--Riverview--Dieppe	preliminary	préliminaires	MacLaren		Luke	NDP-New Democratic Party	NPD-Nouveau Parti démocratique	6164	11.9	0	51943
13007	Moncton--Riverview--Dieppe	Moncton--Riverview--Dieppe	preliminary	préliminaires	Petitpas Taylor		Ginette	Liberal	Libéral	22261	42.9	0	51943
13007	Moncton--Riverview--Dieppe	Moncton--Riverview--Dieppe	preliminary	préliminaires	Williams		Rhys	Christian Heritage Party	Parti de l'Héritage Chrétien	285	.5	0	51943
13008	New Brunswick Southwest	Nouveau-Brunswick-Sud-Ouest	preliminary	préliminaires	Jonah		Susan	Green Party	Parti Vert	5352	13.5	0	39648
13008	New Brunswick Southwest	Nouveau-Brunswick-Sud-Ouest	preliminary	préliminaires	Ludwig		Karen	Liberal	Libéral	10110	25.5	0	39648
13008	New Brunswick Southwest	Nouveau-Brunswick-Sud-Ouest	preliminary	préliminaires	Mullin		Douglas	NDP-New Democratic Party	NPD-Nouveau Parti démocratique	3251	8.2	0	39648
13008	New Brunswick Southwest	Nouveau-Brunswick-Sud-Ouest	preliminary	préliminaires	Sarty		Meryl	People's Party	Parti populaire	1274	3.2	0	39648
13008	New Brunswick Southwest	Nouveau-Brunswick-Sud-Ouest	preliminary	préliminaires	Scott		Abe	VCP	CAC	204	.5	0	39648
13008	New Brunswick Southwest	Nouveau-Brunswick-Sud-Ouest	preliminary	préliminaires	Williamson		John	Conservative	Conservateur	19457	49.1	0	39648
13009	Saint John--Rothesay	Saint John--Rothesay	preliminary	préliminaires	Barnett		Neville	Independent	Indépendant(e)	150	.4	0	41254
13009	Saint John--Rothesay	Saint John--Rothesay	preliminary	préliminaires	Cormier		Armand	NDP-New Democratic Party	NPD-Nouveau Parti démocratique	5046	12.2	0	41254
13009	Saint John--Rothesay	Saint John--Rothesay	preliminary	préliminaires	Jamieson		Stuart	Independent	Indépendant(e)	1191	2.9	0	41254
13009	Saint John--Rothesay	Saint John--Rothesay	preliminary	préliminaires	Long		Wayne	Liberal	Libéral	15448	37.4	0	41254
13009	Saint John--Rothesay	Saint John--Rothesay	preliminary	préliminaires	McAllister		Ann	Green Party	Parti Vert	4153	10.1	0	41254
13009	Saint John--Rothesay	Saint John--Rothesay	preliminary	préliminaires	Salesse		Adam J. C.	People's Party	Parti populaire	1260	3.1	0	41254
13009	Saint John--Rothesay	Saint John--Rothesay	preliminary	préliminaires	Weston		Rodney	Conservative	Conservateur	14006	34	0	41254
13010	Tobique--Mactaquac	Tobique--Mactaquac	preliminary	préliminaires	Aiken		Megan	NDP-New Democratic Party	NPD-Nouveau Parti démocratique	3007	7.9	0	38146
13010	Tobique--Mactaquac	Tobique--Mactaquac	preliminary	préliminaires	Bragdon		Richard	Conservative	Conservateur	19229	50.4	0	38146
13010	Tobique--Mactaquac	Tobique--Mactaquac	preliminary	préliminaires	Guay		Dominic	People's Party	Parti populaire	936	2.5	0	38146
13010	Tobique--Mactaquac	Tobique--Mactaquac	preliminary	préliminaires	MacDonald		Kelsey	Liberal	Libéral	9631	25.2	0	38146
13010	Tobique--Mactaquac	Tobique--Mactaquac	preliminary	préliminaires	Miller		Rowan P.	Green Party	Parti Vert	5343	14	0	38146
